,Text,Biased
0,"aipac should be registered as a foreign agent meddling in us elections.american israel political action committee.

it is interfering in the us electoral process and should be put on trial and it's leaders imprisoned.  @benshapiro @charliekirk11 https://t.co/ebo4ipuah8",1
1,"rt @qiss0rkid: go to israel pls , we don't need you",1
2,"the world, including canada, has given israel a green light to take palestinian land, destroy palestinian homes, and strengthen a system of #apartheid. shame on us",1
3,"these children avoid walking over the us &amp; israel flags. supposedly, this is a generation which was taught to hate america &amp; israel, but it is the opposite!
iranians seek freedom, peace &amp; a dignified life unlike the oppressive iranian regime.
why is the media pro iran regime??? https://t.co/ym3zt8jlfy",0
4,rt @idf: the last 24 hours in israel: https://t.co/0ynwvmsyvl,0
5,@stranahan knowmorenews isn't confident enough to debate me that jesuits control israel not jews https://t.co/raffekoslo,0
6,"""[even] an heritage unto israel his servant: for his mercy [endureth] for ever."" ~psalms 136:22 #bible #poetry #god",0
7,"opinion: no one in israel knew they were committing a massacre, and they didn't care

gideon levy
https://t.co/2itgo9cute",0
8,"https://t.co/ltb0zidzm9 when #thecloudofgod appeared in the days of moses,  he took the children of israel from egypt to the canaan through tremendous judgement of the egyptians. god is coming back to judge sin again",0
9,smokers appear to be at higher risk from coronavirus - expert | the times of israel https://t.co/hgkq8m7cjr,0
10,"rt @sebgorka: so @ilhanmn hates israel and defends iran. 

   now do you understand",0
11,"the #danish bible society has removed dozens of references to 'israel' from translations of the hebrew bible and the new testament.

no one can rewrite history and delete #israel from history. israel is here yo stay, whether they like it or not. https://t.co/aeux1paeuu",0
12,cbs news: 'how jewish american pedophiles hide from justice in israel' https://t.co/6zky4sakti https://t.co/3n7fgrgkzb,0
13,"the democrat party reached a new low. in a vicious attack against israel that was full of lies, rep. rashida tlaib actually wore the jihad war scarf (keffiyeh) on the floor of the house of representatives. 

is this is being reported by our non-biased media? ?? https://t.co/jmbwt8b0cg",0
14,"@bismofunyunsss @jlineberry @berniesanders how did mose knew to arrange the children of israel in the form of a cross in numbers ? 

also 

and moses made a serpent of brass, and put it upon a pole, and it came to pass, that if a serpent had bitten any man, when he beheld the serpent of brass, he lived
numbers 21:9 kjv?? https://t.co/rvr6xjifbv",0
15,"@joann54819331 @jb62154 @sexcounseling @robertrlocklea5 @dbongino @mittromney @lisamurkowski @senatorcollins israel has been destroying palestinians and stealing their land for decades. the usa is drilling oil in palestine, thats theft! they are invading another country...remember poland",1
